[00:00.000–00:01.180] 你20多岁了
[00:01.180–00:04.680] 该系统学一次金融了
[00:04.680–00:07.930] 如果你愿意花十几分钟把今天的内容听完
[00:07.930–00:10.180] 不管你以前懂不懂金融
[00:10.180–00:13.180] 最后都会得到一张完整的金融地图
[00:13.180–00:15.430] 以后再听到股票
[00:15.430–00:16.930] 债券基金
[00:16.930–00:17.930] 期货期权
[00:17.930–00:20.430] 你不会只觉得这些词耳熟
[00:20.430–00:23.180] 你会知道自己买到的到底是什么
[00:23.180–00:24.680] 收益从哪里来
[00:24.680–00:26.680] 最坏又会亏到哪里？
[00:26.680–00:29.680] 很多人学金融最大的问题不是学的少
[00:29.680–00:32.180] 是零零散散听了很多
[00:32.180–00:33.430] 市盈率降息
[00:33.430–00:34.680] 黄金基金
[00:34.680–00:35.930] 期货
[00:35.930–00:37.180] 什么都知道一点
[00:37.180–00:39.680] 却始终拼不成一张完整的图
[00:39.680–00:41.680] 真正轮到自己掏钱
[00:41.680–00:43.430] 还是只能问别人
[00:43.430–00:44.680] 这个能买吗？
[00:44.680–00:46.930] 所以今天不推荐任何产品
[00:46.930–00:49.680] 只把金融到底在研究什么
[00:49.680–00:50.680] 应该怎么学
[00:50.680–00:52.180] 一次讲清楚
[00:52.180–00:54.430] 这里是Yuan的认知笔记
[00:54.430–00:55.680] 每当我们提到钱
[00:55.680–00:57.680] 总会碰到三个词
[00:57.680–01:00.430] 经济 财经和金融
[01:00.430–01:01.680] 先说经济
[01:01.680–01:03.680] 经济学研究的不只是钱
[01:03.680–01:05.680] 却处处与钱相关
[01:05.680–01:08.430] 一家工厂为什么建在这座城市？
[01:08.430–01:10.680] 年轻人为什么找不到工作？
[01:10.930–01:12.180] 房租为什么上涨？
[01:12.180–01:14.430] 一件商品为什么突然降价？
[01:14.430–01:17.430] 社会有限的资源应该怎样分配？
[01:17.430–01:18.930] 这些都属于经济问题
[01:18.930–01:22.430] 所以经济研究的是整个社会怎样生产
[01:22.430–01:24.930] 分配交换和消费
[01:24.930–01:26.430] 再说财经
[01:26.430–01:28.180] 财经更像个内容大类
[01:28.180–01:29.180] 产业变化
[01:29.180–01:30.180] 公司经营
[01:30.180–01:31.680] 财政政策
[01:31.680–01:35.430] 国际贸易和资本市场都可以装进这个口袋
[01:35.430–01:37.680] 所以财经博主今天讲城市
[01:37.680–01:38.680] 明天讲行业
[01:38.680–01:39.930] 后天又讲股票
[01:39.930–01:41.180] 并不矛盾
[01:41.180–01:42.680] 接下来才是金融
[01:42.680–01:44.430] 金融不用想得太神秘
[01:44.430–01:47.180] 它研究的是钱怎么在人与人之间流动
[01:47.180–01:48.930] 怎么从今天搬到未来
[01:48.930–01:52.930] 又怎么把收益和风险分给不同的人
[01:52.930–01:55.680] 有钱的人把暂时不用的钱交出去
[01:55.680–01:58.180] 希望获得回报
[01:58.180–02:00.180] 需要钱的人提前拿到资金
[02:00.180–02:02.930] 再用未来的收入偿还
[02:02.930–02:06.180] 但信用不是凭空多出一笔钱
[02:06.180–02:08.680] 信用只是把未来的钱搬到今天
[02:08.680–02:11.680] 同时把偿还义务也一起搬了过来
[02:11.680–02:13.430] 所以看任何金融产品
[02:13.430–02:15.680] 先别被名字吓住
[02:15.680–02:16.930] 只问四个问题
[02:16.930–02:19.680] 钱从谁手里流向了谁？
[02:19.680–02:22.430] 你交出钱以后换回了什么权利？
[02:22.430–02:23.930] 收益从哪里来？
[02:23.930–02:26.180] 风险最后由谁承担？
